3.15아트,35.22588484,128.5773613,387728,159391,167743,52014,8580
군항문화탐방,35.15360304,128.6543965,23034,12144,10518,372,0
도립미술관,35.23956194,128.6909839,204562,84034,93477,15610,11441
돝섬유원지,35.17886553,128.5810098,367240,108271,174065,67947,16957
로봇랜드,35.07768529,128.5869795,218359,0,0,173332,45027
문신미술관,35.20624955,128.568938,59248,23222,25119,8880,2027
봉암유원지,35.21783106,128.6049939,582120,95351,164008,217984,104777
성산아트홀,35.22997575,128.6837016,684765,284231,322094,69340,9100
용지호수공원 무빙보트(용지문화공원),35.2310185,128.6845476,79600,44716,22976,9592,2316
저도비치로드,35.05896003,128.5638581,447652,130275,114917,131000,71460
제황산공원-모노레일,35.14939425,128.6616348,139053,60778,67536,10739,0
주기철목사기념관,35.11107838,128.7525073,84423,26905,25283,28927,3308
주남저수지,35.31465932,128.6726452,1246060,97302,119375,963775,65608
진해내수면환경생태공원,35.16385921,128.6600989,1337597,192216,453530,418464,273387
진해해양공원,35.09130338,128.7196991,1677807,433408,595269,534849,114281
창원경륜장,35.2320818,128.6679624,1097927,544312,454552,84197,14866
창원과학체험관,35.23025306,128.6618158,365968,159667,155065,42664,8572
창원단감테마공원,35.30020659,128.6632909,572315,203443,213631,141776,13465
창원의집,35.24445001,128.6816638,443577,176974,136911,82048,47644
창원짚트랙,35.09226018,128.7192405,41241,0,0,34957,6284
창원컨트리클럽,35.26005387,128.6643606,352382,96895,108932,119445,27110
콰이강의다리 스카이워크,35.06696395,128.5620005,1260885,492711,445157,261500,61517
해양드라마세트장,35.10987954,128.5413312,1002929,265598,215012,287335,234984
LH토지주택박물관,35.1776075,128.1467637,19079,0,14285,4794,0
가뫼골마을,35.25860744,128.0324095,1955,0,0,1955,0
경상남도과학교육원,35.20147819,128.2259196,32466,0,27090,5376,0
경상대학교 박물관,35.15404905,128.0981035,29488,0,23628,5860,0
남강댐 물문화관,35.16241721,128.0303916,59345,0,48593,10752,0
디월드,35.16897393,128.1306664,1745,0,0,1745,0
목공예전수관,35.24638392,128.0425933,9367,0,4888,4479,0
산림박물관,35.16118886,128.2967231,892948,376453,331010,185485,0
정글어드벤처,35.18086213,128.0404837,3975,0,0,3975,0
진양호 동물원,35.17677972,128.0360254,409134,179185,165854,64095,0
진주 꿈키움동산,35.17584318,128.0393915,22290,0,17893,4397,0
진주 월아산우드랜드,35.19985652,128.194719,72734,0,60950,11784,0
진주레일바이크 놀이동산,35.16564041,128.0671711,31959,0,18752,13207,0
진주성,35.18902305,128.0779844,5022400,2253455,2167256,601689,0
진주시립이성자미술관,35.17619912,128.1428648,19043,7714,9727,1602,0
진주어린이박물관,35.1811139,128.0788831,11561,0,9345,2216,0
진주익룡발자국전시관,35.16914916,128.1394486,5677,0,0,5677,0
진주청동기문화박물관,35.22445139,127.9620176,126558,61780,53282,11496,0
한국드론박물관,35.1567291,128.1432338,0,0,0,0,0
달아공원,34.76913413,128.3995675,609708,297867,175344,136497,0
동피랑마을,34.84564211,128.4276058,4585175,1727640,1591169,1266366,0
매물도,34.63998133,128.5724068,301445,121447,118234,61764,0
박경리기념관,34.80239312,128.4037909,260104,108420,106466,45218,0
벽방산(안정사),34.94381738,128.395545,332283,77293,121554,133436,0
사량도,34.84926451,128.1971157,1265815,451832,452970,361013,0
서피랑,34.84490505,128.418283,302856,71269,129094,102493,0
"연대도,만지도(연대도 선착장)",34.73740475,128.3966379,461126,186175,183397,91554,0
연화도,34.64518093,128.3597474,165800,0,109954,55846,0
욕지도,34.63570043,128.2494396,829170,273762,265293,290115,0
유람선터미널,34.82866838,128.4338006,355730,176283,148833,30614,0
이순신공원,34.84423404,128.442803,1393207,573414,400540,419253,0
장사도해상공원,34.71240765,128.5596234,417786,204905,167775,45106,0
통영 옻칠미술관,34.85474937,128.4429241,24296,11046,8865,4385,0
통영루지,34.82471581,128.4244294,1623098,655237,541520,426341,0
통영시립박물관,34.84078909,128.4166289,50172,21949,22781,5442,0
통영어드벤처타워,34.82473451,128.4225046,52254,0,34671,17583,0
통영충렬사,34.8468669,128.4176054,65038,0,44362,20676,0
통영케이블카,34.82662827,128.4251366,2412905,1071424,904324,437157,0
통제영지 세병관,34.84754697,128.423146,211742,90178,79813,41751,0
한산도 제승당,34.79414816,128.4716489,414376,157651,187420,69305,0
비토캠핑장,34.96833243,127.9822128,32674,0,7631,20790,4253
비토해양낚시공원,34.96190297,127.9714589,52705,0,14238,31525,6942
사천바다케이블카,34.93303141,128.052811,1595682,496280,745828,302608,50966
사천컨트리클럽,35.0145567,127.957593,471644,131078,139660,166523,34383
삼삼cc,35.11037514,128.0478407,159106,40991,47802,58901,11412
삼천포유람선,34.92954794,128.0633748,432058,153055,277248,1755,0
세계문화콘텐츠 상설공연,0,0,287624,173698,112425,1501,0
타니컨트리클럽,35.09946955,128.0159406,454646,124194,140213,156244,33995
항공우주박물관,35.07049138,128.0641124,403215,191548,154088,48493,9086
가야 컨트리클럽,35.27483825,128.8925563,819301,239021,257225,263741,59314
가야랜드,35.26115594,128.9013146,303899,91497,91140,84639,36623
국립 김해 박물관,35.24278065,128.8734873,955168,400174,419661,112110,23223
김해가야테마파크,35.25074284,128.8930299,768549,306287,265002,148271,48989
김해낙동강레일파크,35.37178576,128.8208957,863300,329434,360465,136389,37012
김해목재문화체험장,35.17993003,128.8081716,76296,0,62601,11160,2535
